Iteration,Discriminator Loss,Generator Loss
6400,1.204675,0.585946
6410,1.238472,0.550738
6420,1.286357,0.662880
6430,1.240344,0.626510
6440,1.309635,0.520549
6450,1.230733,0.455465
6460,1.220641,0.567156
6470,1.264347,0.689391
6480,1.314636,0.501479
6490,1.228325,0.535902
6500,1.303996,0.587748
6510,1.213197,0.780025
6520,1.256724,0.680516
6530,1.139774,0.449572
6540,1.391243,0.508706
6550,1.268830,0.548192
6560,1.246980,0.625118
6570,1.294967,0.753589
6580,1.340879,0.719213
6590,1.403352,0.656657
6600,1.260962,0.517906
6610,1.323086,0.494482
6620,1.285405,0.661386
6630,1.270458,0.422616
6640,1.358695,0.678456
6650,1.185372,0.575580
6660,1.281384,0.653847
6670,1.338198,0.530393
6680,1.364714,0.527909
6690,1.213440,0.546699
6700,1.306257,0.690554
6710,1.257926,0.463203
6720,1.172380,0.584371
6730,1.251294,0.494262
6740,1.379957,0.592841
6750,1.208032,0.430205
6760,1.183380,0.443401
6770,1.393107,0.674740
6780,1.350266,0.533688
6790,1.325198,0.462686
6800,1.265469,0.688074
6810,1.505845,0.707261
6820,1.299719,0.616784
6830,1.419226,0.811247
6840,1.281930,0.574021
6850,1.342225,0.802836
6860,1.338686,0.503250
6870,1.390866,0.464485
6880,1.258553,0.699319
6890,1.269819,0.489048
6900,1.201661,0.435004
6910,1.324190,0.571993
6920,1.115906,0.427236
6930,1.278613,0.407181
6940,1.247254,0.463820
6950,1.255621,0.473636
6960,1.288145,0.716139
6970,1.331312,0.523369
6980,1.250496,0.453754
6990,1.131773,0.439454
7000,1.237242,0.443357
7010,1.350518,0.543298
7020,1.216082,0.659434
7030,1.345055,0.420617
7040,1.250954,0.682425
7050,1.285003,0.530118
7060,1.278176,0.617569
7070,1.395058,0.464920
7080,1.236412,0.604014
7090,1.306559,0.411679
7100,1.321917,0.437009
7110,1.349010,0.465370
7120,1.240699,0.676569
7130,1.314909,0.497363
7140,1.307669,0.704751
7150,1.331727,0.547218
7160,1.365593,0.450641
7170,1.322844,0.496429
7180,1.337810,0.499472
7190,1.349957,0.545548
7200,1.264542,0.686904
7210,1.340346,0.485256
7220,1.325006,0.560644
7230,1.173056,0.388808
7240,1.399022,0.700632
7250,1.283081,0.433479
7260,1.315145,0.687588
7270,1.368112,0.466620
7280,1.192403,0.633337
7290,1.327836,0.415914
7300,1.335481,0.463989
7310,1.220077,0.551018
7320,1.338688,0.514549
7330,1.316525,0.448900
7340,1.351680,0.691442
7350,1.242651,0.619328
7360,1.269335,0.542241
7370,1.294961,0.423126
7380,1.242510,0.609683
7390,1.368753,0.602980
7400,1.225264,0.420857
7410,1.267319,0.611166
7420,1.272564,0.669085
7430,1.333952,0.740247
7440,1.242565,0.621968
7450,1.269126,0.423438
7460,1.235233,0.585362
7470,1.103177,0.509186
7480,1.223681,0.553517
7490,1.346464,0.634486
7500,1.369741,0.572251
7510,1.141501,0.543685
7520,1.306745,0.492191
7530,1.286897,0.587892
7540,1.287478,0.620250
7550,1.235834,0.465501
7560,1.311634,0.432975
7570,1.261388,0.460038
7580,1.303864,0.577866
7590,1.251238,0.685520
7600,1.245074,0.445391
7610,1.295975,0.460836
7620,1.334574,0.551267
7630,1.305257,0.469891
7640,1.367083,0.658939
7650,1.278520,0.672883
7660,1.215732,0.454395
7670,1.295184,0.584734
7680,1.464356,0.649940
7690,1.323551,0.714192
7700,1.257066,0.657608
7710,1.404059,0.536769
7720,1.228050,0.605875
7730,1.294345,0.494178
7740,1.228654,0.625747
7750,1.300600,0.535346
7760,1.549260,0.711506
7770,1.310354,0.663180
7780,1.286368,0.452170
7790,1.205112,0.607865
7800,1.268621,0.707913
7810,1.265737,0.659955
7820,1.304813,0.367478
7830,1.360397,0.543049
7840,1.285054,0.657323
7850,1.243702,0.331523
7860,1.251810,0.673678
7870,1.289014,0.515536
7880,1.168811,0.599874
7890,1.220637,0.623023
7900,1.107582,0.551901
7910,1.274486,0.479679
7920,1.237742,0.369562
7930,1.244810,0.435760
7940,1.291110,0.628449
7950,1.219264,0.674871
7960,1.073954,0.457143
7970,1.293584,0.520455
7980,1.370391,0.442472
7990,1.268874,0.550009
8000,1.371161,0.587077
8010,1.120849,0.581260
8020,1.193565,0.607253
8030,1.194680,0.521846
8040,1.282047,0.625153
8050,1.342280,0.742371
8060,1.279209,0.580498
8070,1.153562,0.615340
8080,1.412353,0.540660
8090,1.326570,0.414876
8100,1.329140,0.589922
8110,1.275820,0.652871
8120,1.197604,0.615893
8130,1.143309,0.525424
8140,1.326059,0.436450
8150,1.258289,0.429297
8160,1.392788,0.773615
8170,1.226077,0.350626
8180,1.376853,0.667667
8190,1.450034,0.816536
8200,1.258145,0.474441
8210,1.220101,0.399763
8220,1.359547,0.419394
8230,1.162139,0.460484
8240,1.335482,0.800788
8250,1.254229,0.515422
8260,1.268792,0.392076
8270,1.114868,0.333380
8280,1.115437,0.533864
8290,1.140830,0.524176
8300,1.238023,0.418207
8310,1.332288,0.532721
8320,1.215386,0.372675
8330,1.161067,0.469291
8340,1.168741,0.613321
8350,1.319062,0.551674
8360,1.068259,0.501299
8370,1.423609,0.729518
8380,1.334498,0.708486
8390,1.381056,0.671148
8400,1.316074,0.469273
8410,1.304022,0.629413
8420,1.264565,0.598772
8430,1.261574,0.400528
8440,1.270997,0.362408
8450,1.323829,0.673201
8460,1.213395,0.414228
8470,1.158326,0.543380
8480,1.171202,0.761507
8490,1.295580,0.443568
8500,1.276125,0.541621
8510,1.260018,0.481538
8520,1.314725,0.592954
8530,1.286745,0.493166
8540,1.138188,0.554083
8550,1.162068,0.419756
8560,1.154721,0.339267
8570,1.143407,0.365168
8580,1.392285,0.454516
8590,1.238850,0.527871
8600,1.261822,0.361349
8610,1.310998,0.547956
8620,1.093593,0.520911
8630,1.187872,0.373304
8640,1.366604,0.604441
8650,1.359205,0.665798
8660,1.192424,0.354880
8670,1.263180,0.480091
8680,1.308053,0.725182
8690,1.242213,0.373619
8700,1.322238,0.416377
8710,1.292273,0.380148
8720,1.247934,0.580092
8730,1.255152,0.420417
8740,1.295868,0.536909
8750,1.345783,0.486443
8760,1.342250,0.438976
8770,1.153977,0.600200
8780,1.203161,0.787336
8790,1.172799,0.528054
8800,1.266423,0.676465
8810,1.325702,0.385413
8820,1.108410,0.618823
8830,1.090403,0.501660
8840,1.300115,0.431345
8850,1.232048,0.482966
8860,1.148936,0.411729
8870,1.238333,0.515272
8880,1.295732,0.659609
8890,1.193241,0.537729
8900,1.226413,0.367321
8910,1.305915,0.600412
8920,1.278087,0.625942
8930,1.223437,0.591468
8940,1.238887,0.585364
8950,1.323373,0.626524
8960,1.382944,0.721524
8970,1.178006,0.509725
8980,1.285055,0.632785
8990,1.315553,0.371402
9000,1.254300,0.438535
9010,1.210169,0.672121
9020,1.223690,0.401245
9030,1.336812,0.593632
9040,1.245839,0.448395
9050,1.367130,0.474899
9060,1.278919,0.596784
9070,1.166153,0.363834
9080,1.270533,0.416607
9090,1.183549,0.276655
9100,1.189790,0.551784
9110,1.376226,0.455154
9120,1.334570,0.488311
9130,1.330551,0.491705
9140,1.333647,0.640801
9150,1.311721,0.434204
9160,1.159410,0.562439
9170,1.279444,0.410800
9180,1.131612,0.359096
9190,1.114706,0.527693
9200,1.262009,0.467371
9210,1.209473,0.389072
9220,1.232044,0.390699
9230,1.300968,0.408140
9240,1.197382,0.390161
9250,1.214419,0.617398
9260,1.364765,0.420828
9270,1.284339,0.493936
9280,1.004623,0.506304
9290,1.245630,0.582617
9300,1.344323,0.536275
9310,1.330836,0.359950
9320,1.320581,0.603724
9330,1.243559,0.455067
9340,1.171457,0.525199
9350,1.269076,0.386786
9360,1.229689,0.395142
9370,1.224493,0.364783
9380,1.297949,0.651934
9390,1.140666,0.565811
9400,1.291031,0.613130
9410,1.250676,0.468187
9420,1.300951,0.658107
9430,1.294372,0.435576
9440,1.227567,0.561806
9450,1.311227,0.452837
9460,1.309623,0.468072
9470,1.236003,0.634397
9480,1.308534,0.459642
9490,1.246798,0.385317
9500,1.198735,0.383719
9510,1.206534,0.410365
9520,0.985133,0.473230
9530,1.144762,0.485540
9540,1.185642,0.341209
9550,1.162546,0.410689
9560,1.110919,0.345666
9570,1.265528,0.573500
9580,1.374618,0.558539
9590,1.199679,0.618963
9600,1.121510,0.382365
9610,1.339006,0.467263
9620,1.176202,0.495877
9630,1.350238,0.431222
9640,1.319132,0.390424
9650,1.290682,0.422541
9660,1.401697,0.764239
9670,1.097051,0.425126
9680,1.178375,0.362549
