Iteration,Discriminator Loss,Generator Loss
5590,1.242549,0.342566
5600,1.230514,0.379810
5610,1.324374,0.525016
5620,1.351026,0.470514
5630,1.314268,0.503795
5640,1.147630,0.387093
5650,1.250256,0.702518
5660,1.302053,0.736520
5670,1.143977,0.389389
5680,1.314092,0.440527
5690,1.275127,0.563835
5700,1.279216,0.726253
5710,1.588058,0.741770
5720,1.264293,0.563643
5730,1.304958,0.659331
5740,1.194856,0.476039
5750,1.221749,0.524768
5760,1.199211,0.539019
5770,1.235852,0.310659
5780,1.186125,0.370660
5790,1.304225,0.574602
5800,1.349645,0.569503
5810,1.138544,0.348814
5820,1.315570,0.598354
5830,1.271149,0.550669
5840,1.271949,0.445956
5850,1.343811,0.615818
5860,1.267783,0.602116
5870,1.414077,0.611643
5880,1.323533,0.319382
5890,1.206434,0.454347
5900,1.200407,0.467402
5910,1.300910,0.448664
5920,1.330130,0.587760
5930,1.402786,0.502233
5940,1.310396,0.653796
5950,1.227339,0.518513
5960,1.396507,0.443947
5970,1.368656,0.538773
5980,1.291196,0.756073
5990,1.026502,0.389520
6000,1.302664,0.520077
6010,1.118914,0.354338
6020,1.347974,0.555188
6030,1.275615,0.687003
6040,1.287270,0.513478
6050,1.304211,0.633867
6060,1.225175,0.531605
6070,1.224158,0.442491
6080,1.373233,0.658898
6090,1.222610,0.389756
6100,1.214887,0.554425
6110,1.193171,0.280483
6120,1.275506,0.513192
6130,1.269979,0.343988
6140,1.195271,0.473386
6150,1.264715,0.708893
6160,1.291112,0.747680
6170,1.296453,0.599722
6180,1.080922,0.348790
6190,1.045551,0.395254
6200,1.203934,0.548448
6210,0.998056,0.397390
6220,1.259564,0.333181
6230,1.393114,0.439940
6240,1.244752,0.419630
6250,1.400720,0.264916
6260,1.031467,0.358035
6270,1.377743,0.837030
6280,1.189741,0.365511
6290,1.171570,0.474898
6300,1.308162,0.593859
6310,1.255980,0.584448
6320,1.363401,0.463378
6330,1.350888,0.585535
6340,1.182960,0.345246
6350,1.058743,0.282890
6360,1.164451,0.570736
6370,1.349085,0.401147
6380,1.379264,0.660854
6390,1.265119,0.672683
6400,1.184259,0.349807
6410,1.230111,0.454004
6420,1.253527,0.549520
6430,1.024960,0.401698
6440,1.276511,0.469354
6450,1.057693,0.389321
6460,1.353242,0.779219
6470,1.193039,0.438366
6480,1.346292,0.372366
6490,1.238682,0.552868
6500,1.361527,0.427937
6510,1.250455,0.485322
6520,0.945678,0.379623
6530,1.059425,0.400287
6540,1.234902,0.367938
6550,1.302177,0.654518
6560,1.313180,0.344190
6570,1.343695,0.425494
6580,1.091661,0.369406
6590,1.087255,0.430522
6600,1.296627,0.662020
6610,1.218793,0.588980
6620,1.324474,0.721688
6630,1.366518,0.696844
6640,1.369117,0.575451
6650,1.352533,0.526096
6660,1.029171,0.436179
6670,1.113927,0.421710
6680,1.075983,0.401013
6690,1.194715,0.352665
6700,1.197970,0.534567
6710,1.036743,0.460662
6720,1.352454,0.430671
6730,1.229283,0.897145
6740,1.226088,0.277537
6750,1.276152,0.354443
6760,1.231657,0.615675
6770,1.199581,0.465493
6780,1.261759,0.320647
6790,1.285527,0.409415
6800,1.253144,0.634024
6810,1.201470,0.371286
6820,1.332257,0.679637
6830,1.353323,0.739946
6840,1.433027,0.540484
6850,1.265992,0.415548
6860,1.152849,0.580083
6870,1.126075,0.450701
6880,1.345401,0.508175
6890,1.293457,0.493353
6900,1.161837,0.498541
6910,1.264170,0.557204
6920,1.111969,0.488104
6930,1.191106,0.570229
6940,1.180251,0.357435
6950,1.279950,0.722670
6960,1.251032,0.647898
6970,1.295897,0.501751
6980,1.099219,0.321140
6990,1.133065,0.403595
7000,1.062873,0.322615
7010,1.307295,0.643971
7020,1.163591,0.469928
7030,1.227510,0.272898
7040,1.160680,0.481294
7050,1.237526,0.360105
7060,1.259264,0.629165
7070,1.190564,0.302654
7080,1.351320,0.714921
7090,1.322341,0.687017
7100,1.368824,0.580231
7110,1.452291,0.491918
7120,1.303261,0.409106
7130,1.135429,0.452454
7140,1.368905,0.792223
7150,1.161368,0.513340
7160,1.198050,0.546591
7170,1.134194,0.548200
7180,1.268529,0.634954
7190,1.077885,0.421623
7200,1.150568,0.482153
7210,1.366791,0.392526
7220,1.246422,0.472119
7230,1.267410,0.615950
7240,1.069104,0.291198
7250,1.195795,0.585575
7260,1.369905,0.783223
7270,1.431142,0.476560
7280,1.386896,0.529914
7290,1.054850,0.515996
7300,1.158271,0.608824
7310,1.164840,0.547386
7320,1.270602,0.602104
7330,1.223627,0.497359
7340,1.275809,0.242734
7350,1.194326,0.359166
7360,1.295201,0.604236
7370,1.413781,0.736060
7380,1.288163,0.448684
7390,1.153327,0.369742
7400,1.156767,0.366133
7410,1.167987,0.530072
7420,1.205123,0.506766
7430,1.203793,0.407952
7440,1.208924,0.459388
7450,1.409373,0.661984
7460,1.257619,0.614820
7470,1.130583,0.745504
7480,1.234118,0.433900
7490,1.225662,0.492623
7500,1.015391,0.447646
7510,1.178064,0.381785
7520,1.309897,0.685490
7530,1.331698,0.673970
7540,1.210261,0.564411
7550,1.183741,0.420999
7560,1.418889,0.617148
7570,1.233214,0.707672
7580,1.158525,0.402068
7590,1.249259,0.512557
7600,1.126544,0.441694
7610,1.135165,0.467534
7620,1.271888,0.664429
7630,1.022195,0.349600
7640,1.216119,0.512157
7650,1.326142,0.352435
7660,1.007148,0.324844
7670,1.123063,0.590701
7680,1.363549,0.700190
7690,1.294858,0.613675
7700,1.276629,0.276018
7710,1.161747,0.376962
7720,1.036676,0.331996
7730,1.091474,0.426309
7740,1.325963,0.473394
7750,1.157675,0.323671
7760,1.106226,0.504677
7770,1.348413,0.541565
7780,1.253185,0.804090
7790,1.376894,0.612581
7800,1.145099,0.688082
7810,1.155124,0.501033
7820,1.351878,0.506177
7830,1.135622,0.407073
7840,1.062325,0.483985
7850,1.057870,0.265769
7860,1.081356,0.404091
7870,1.193106,0.532974
7880,1.181004,0.510178
7890,1.332473,0.422008
7900,1.228229,0.285043
7910,1.134979,0.667764
7920,1.158887,0.377940
7930,1.294594,0.592665
7940,1.134461,0.500677
7950,1.119638,0.473032
7960,1.274176,0.473335
7970,1.194859,0.584213
7980,1.298579,0.522922
7990,1.082307,0.443938
8000,1.290699,0.314016
8010,1.351635,0.599316
8020,1.086037,0.316114
8030,0.945392,0.292523
8040,1.191564,0.405649
8050,1.464105,0.598037
8060,1.088621,0.411348
8070,1.107029,0.292495
8080,1.172069,0.510099
8090,1.315518,0.476340
8100,1.285376,0.569195
8110,1.423317,0.755418
8120,1.308576,0.489354
8130,1.371066,0.607212
8140,1.291510,0.768888
8150,1.232845,0.545494
8160,1.414716,0.455433
8170,1.465786,0.390687
8180,1.112825,0.318255
8190,1.315883,0.216709
8200,1.293427,0.694722
8210,1.281964,0.678540
8220,1.159567,0.573004
8230,1.132242,0.324766
8240,1.113669,0.445935
8250,1.283226,0.361417
8260,1.411951,0.639083
8270,1.332628,0.633531
8280,1.023318,0.378099
8290,1.233718,0.688648
8300,1.432080,0.261390
8310,1.325696,0.593079
8320,1.247144,0.403660
8330,1.097139,0.322870
8340,1.093174,0.377419
8350,1.252488,0.556503
8360,1.110794,0.388069
8370,1.159454,0.368119
8380,1.042697,0.402198
8390,1.364393,0.687442
8400,1.174612,0.299556
8410,1.232795,0.508775
8420,1.342480,0.718812
8430,1.182107,0.395174
8440,1.189809,0.527881
8450,1.335895,0.696632
8460,1.495619,0.197075
8470,1.160113,0.484516
8480,1.302650,0.274133
8490,1.236492,0.584406
8500,1.173158,0.280164
8510,1.324881,0.517688
8520,1.067326,0.355128
8530,1.292875,0.409846
8540,1.199865,0.518379
8550,1.312067,0.411839
8560,1.361764,0.637355
8570,1.056447,0.356933
8580,1.258315,0.390869
8590,1.205069,0.463311
8600,1.014654,0.307545
8610,1.225846,0.431044
8620,1.153001,0.493388
8630,0.971469,0.280385
8640,1.223104,0.530393
8650,1.129188,0.475626
8660,1.327135,0.639104
8670,1.364830,0.850884
8680,1.299593,0.544835
8690,1.088822,0.397415
8700,1.038914,0.543606
8710,1.155732,0.505646
8720,1.161423,0.241558
8730,1.181049,0.528229
8740,1.058416,0.390374
8750,1.226915,0.648562
8760,1.230448,0.494336
8770,1.399569,0.435026
8780,1.194716,0.475552
8790,1.076725,0.304149
8800,1.235073,0.416126
8810,1.226123,0.422810
8820,1.160417,0.471734
8830,1.310962,0.616720
8840,1.321290,0.616101
8850,1.286854,0.564632
8860,1.072971,0.403681
8870,1.208758,0.424429
8880,0.997274,0.374169
8890,1.203552,0.461179
8900,1.308270,0.672165
8910,1.257633,0.465677
8920,1.282874,0.462047
8930,1.252286,0.498174
8940,1.306113,0.496855
8950,1.257061,0.585983
8960,1.358090,0.419959
8970,1.226893,0.548650
8980,1.332071,0.471033
8990,1.210763,0.353486
9000,1.127320,0.531873
9010,1.105373,0.483114
9020,1.101899,0.452001
9030,1.111576,0.410168
9040,1.230689,0.361514
9050,1.258111,0.669710
9060,1.402070,0.509281
